Key,File,Type,schinese
meleeWpnBladeT1HuntingKnifeSchematic,items,Melee,猎刀设计图
meleeWpnBladeT3Machete,items,Melee,砍刀
meleeWpnBladeT3MacheteDesc,items,Melee,很适合砍杀丧尸、砍树，或解剖动物获得肉。\n普通攻击造成 1 处流血创伤，强力攻击造成 2 处。\n\n可使用维修工具修理。\n可分解为砍刀零件。
meleeWpnBladeT3MacheteParts,items,Melee,砍刀零件
meleeWpnBladeT3MacheteSchematic,items,Melee,砍刀设计图
meleeWpnClubT0WoodenClub,items,Melee,木棒
meleeWpnClubT0WoodenClubDesc,items,Melee,一根木棒。可用来打断膝盖和头骨。\n\n可用木头修理。\n可分解为木头。
meleeWpnClubT1BaseballBat,items,Melee,球棒
meleeWpnClubT1BaseballBatDesc,items,Melee,这种棍棒曾在大型竞技场上的格斗比赛中使用。\n\n可用维修工具修理。\n可分解为木头。
meleeWpnClubT1BaseballBatSchematic,items,Melee,棒球棒设计图
meleeWpnClubT1CandyClub,items,Melee,拐杖糖棍棒
meleeWpnClubT1CandyClubDesc,items,Melee,海扁节快乐！\n\n\n可使用维修工具修理。
meleeWpnClubT3SteelClub,items,Melee,钢棍
meleeWpnClubT3SteelClubDesc,items,Melee,钢棍非常耐用，打击力强。\n\n可用维修工具修理。\n可分解为钢棍零件。
meleeWpnClubT3SteelClubParts,items,Melee,钢棍零件
meleeWpnKnucklesT0LeatherKnuckles,items,Melee,拳手绑带
meleeWpnKnucklesT0LeatherKnucklesDesc,items,Melee,这款护指绑带可保护你的手部，并增加你的挥拳力量。\n\n可用皮革修理。\n可分解为皮革。
meleeWpnKnucklesT1IronKnuckles,items,Melee,铁质拳套
meleeWpnKnucklesT1IronKnucklesDesc,items,Melee,可保护你的手部，并给你的挥拳增加重量。\n\n可用维修工具修理。\n可分解为铁。
meleeWpnKnucklesT1IronKnucklesSchematic,items,Melee,铁拳套设计图
meleeWpnKnucklesT3SteelKnuckles,items,Melee,钢质拳套
meleeWpnKnucklesT3SteelKnucklesDesc,items,Melee,可保护你的手部，并给你的挥拳增加重量。这些刀片也可用于解剖动物。\n\n可使用维修工具修理。\n可分解为钢质拳套零件。
meleeWpnKnucklesT3SteelKnucklesParts,items,Melee,钢质拳套零件
meleeWpnKnucklesT3SteelKnucklesSchematic,items,Melee,钢质拳套设计图
meleeWpnSledgeT0StoneSledgehammer,items,Melee,石质大锤
meleeWpnSledgeT0StoneSledgehammerDesc,items,Melee,此大锤是敲碎头颅最好的武器之一。\n\n可使用小石子修理。\n可分解为小石子。
meleeWpnSledgeT1IronSledgehammer,items,Melee,铁质大锤
meleeWpnSledgeT1IronSledgehammerDesc,items,Melee,此大锤是敲碎头颅最好的武器之一。\n\n可使用维修工具修理。\n可分解为铁。
meleeWpnSledgeT1IronSledgehammerSchematic,items,Melee,铁质大锤设计图
meleeWpnSledgeT3SteelSledgehammer,items,Melee,钢质大锤
meleeWpnSledgeT3SteelSledgehammerDesc,items,Melee,此大锤是敲碎头颅最好的武器之一。\n\n可使用维修工具修理。\n可分解为钢质大锤零件。
meleeWpnSledgeT3SteelSledgehammerParts,items,Melee,钢质大锤零件
meleeWpnSledgeT3SteelSledgehammerSchematic,items,Melee,钢质大锤设计图
meleeWpnSpearT0StoneSpear,items,Melee,石矛
meleeWpnSpearT0StoneSpearDesc,items,Melee,长矛比其他近战武器的攻击范围更大。\n\n可使用小石子修理。\n可分解为小石子。
meleeWpnSpearT1IronSpear,items,Melee,铁矛
meleeWpnSpearT1IronSpearDesc,items,Melee,长矛比其他近战武器的攻击范围更大。\n\n可使用维修工具修理。\n可分解为铁。
meleeWpnSpearT1IronSpearSchematic,items,Melee,铁矛设计图
meleeWpnSpearT3SteelSpear,items,Melee,钢矛
meleeWpnSpearT3SteelSpearDesc,items,Melee,长矛比其他近战武器的攻击范围更大。\n\n可使用维修工具修理。\n可分解为钢矛零件。
meleeWpnSpearT3SteelSpearParts,items,Melee,钢矛零件
meleeWpnSpearT3SteelSpearSchematic,items,Melee,钢矛设计图
sledgehammersSkillMagazine,items,Melee,锤行天下
sledgehammersSkillMagazineDesc,items,Melee,如果你喜欢砸东西，那就快来看看《锤行天下》吧！\n\n提高大锤的制作技能。
spearsSkillMagazine,items,Melee,尖锐之棍
spearsSkillMagazineDesc,items,Melee,如果你喜欢往东西上戳洞，那就快来看看《尖锐之棍》吧！\n\n提高长矛的制作技能。
smallEngine,items,Part,发动机
smallEngineDesc,items,Part,载具或发电机的普通零件。
solarCell,items,Part,太阳能电池
solarCellDesc,items,Part,将太阳能电池放入太阳能电池组中，即可发电。
bookArtOfMiningAvalanche,items,perk  book,采矿的艺术 第6卷
bookArtOfMiningBlackStrap,items,perk  book,采矿的艺术 第4卷
bookArtOfMiningCoffee,items,perk  book,采矿的艺术 第3卷
bookArtOfMiningDamage,items,perk  book,采矿的艺术 第7卷
bookArtOfMiningDiamondTools,items,perk  book,采矿的艺术 第2卷
bookArtOfMiningLuckyStrike,items,perk  book,采矿的艺术 第1卷
bookArtOfMiningPallets,items,perk  book,采矿的艺术 第5卷
bookAutoWeaponsDamage,items,perk  book,自动武器指导手册 第1卷
bookAutoWeaponsDrumMag,items,perk  book,自动武器指导手册 第4卷
bookAutoWeaponsMachineGuns,items,perk  book,自动武器指导手册 第7卷
bookAutoWeaponsMaintenance,items,perk  book,自动武器指导手册 第3卷
bookAutoWeaponsRagdoll,items,perk  book,自动武器指导手册 第6卷
bookAutoWeaponsRecoil,items,perk  book,自动武器指导手册 第5卷
bookAutoWeaponsUncontrolledBurst,items,perk  book,自动武器指导手册 第2卷
bookBarBrawling1BasicMoves,items,perk  book,酒吧斗殴 第 1 卷
bookBarBrawling2DropABomb,items,perk  book,酒吧斗殴 第 2 卷
bookBarBrawling3KillerInstinct,items,perk  book,酒吧斗殴 第 3 卷
bookBarBrawling4FinishingMoves,items,perk  book,酒吧斗殴 第 4 卷
bookBarBrawling5AdrenalineHealing,items,perk  book,酒吧斗殴 第 5 卷
bookBarBrawling6RageMode,items,perk  book,酒吧斗殴 第 6 卷
bookBarBrawling7BoozedUp,items,perk  book,酒吧斗殴 第 7 卷
bookBatterUpBigHits,items,perk  book,一击破坏 第1卷
bookBatterUpFoulBalls,items,perk  book,一击破坏 第6卷
bookBatterUpKnockdown,items,perk  book,一击破坏 第4卷
bookBatterUpMaintenance,items,perk  book,一击破坏 第5卷
bookBatterUpMetalChain,items,perk  book,一击破坏第7卷
bookBatterUpSlowPitch,items,perk  book,一击破坏 第3卷
bookBatterUpStealingBases,items,perk  book,一击破坏 第2卷
bookEnforcerAPAmmo,items,perk  book,马格南警官 第5卷
bookEnforcerApparel,items,perk  book,马格南警官 第2卷
bookEnforcerCriminalPursuit,items,perk  book,马格南警官 第7卷
bookEnforcerDamage,items,perk  book,马格南警官 第1卷
bookEnforcerHPAmmo,items,perk  book,马格南警官 第6卷
bookEnforcerIntimidation,items,perk  book,马格南警官 第4卷
bookEnforcerPunks,items,perk  book,马格南警官 第3卷
bookFiremansAlmanacAxes,items,perk  book,消防员年鉴 第2卷
bookFiremansAlmanacEquipment,items,perk  book,消防员年鉴 第7卷
bookFiremansAlmanacHarvest,items,perk  book,消防员年鉴 第6卷
bookFiremansAlmanacHeat,items,perk  book,消防员年鉴 第1卷
bookFiremansAlmanacMolotov,items,perk  book,消防员年鉴 第4卷
bookFiremansAlmanacPrevention,items,perk  book,消防员年鉴 第5卷
bookFiremansAlmanacSpeed,items,perk  book,消防员年鉴 第3卷
bookGreatHeistAdrenalineFall,items,perk  book,大劫掠 第5卷
bookGreatHeistClaimed,items,perk  book,大劫掠 第4卷
bookGreatHeistGems,items,perk  book,大劫掠 第2卷
bookGreatHeistGoldRush,items,perk  book,大劫掠 第3卷
bookGreatHeistMotionDetection,items,perk  book,大劫掠 第7卷
bookGreatHeistSafes,items,perk  book,大劫掠 第1卷
bookGreatHeistSprintSneak,items,perk  book,大劫掠 第6卷
bookHuntingJournalBears,items,perk  book,猎人日记 第1卷
bookHuntingJournalCoyotes,items,perk  book,猎人日记 第3卷
bookHuntingJournalDeer,items,perk  book,猎人日记 第5卷
bookHuntingJournalMountainLions,items,perk  book,猎人日记 第4卷
bookHuntingJournalSelfDefense,items,perk  book,猎人日记 第7卷
bookHuntingJournalVultures,items,perk  book,猎人日记 第6卷
bookHuntingJournalWolves,items,perk  book,猎人日记 第2卷
bookLuckyLooterAmmunition,items,perk  book,幸运掠夺者 第2卷
bookLuckyLooterBooks,items,perk  book,幸运掠夺者 第5卷
bookLuckyLooterBrass,items,perk  book,幸运掠夺者 第3卷
bookLuckyLooterDukes,items,perk  book,幸运掠夺者 第1卷
bookLuckyLooterFood,items,perk  book,幸运掠夺者 第6卷
bookLuckyLooterLead,items,perk  book,幸运掠夺者 第4卷
bookLuckyLooterMedical,items,perk  book,幸运掠夺者 第7卷
bookNeedleAndThreadDesertWear,items,perk  book,针与线 第4卷
bookNeedleAndThreadDusters,items,perk  book,针与线 第5卷
bookNeedleAndThreadFootwear,items,perk  book,针与线 第3卷
bookNeedleAndThreadLegwear,items,perk  book,针与线 第2卷
bookNeedleAndThreadPockets,items,perk  book,针与线 第7卷
bookNeedleAndThreadPufferCoats,items,perk  book,针与线 第6卷
bookNeedleAndThreadWinterWear,items,perk  book,针与线 第1卷
bookNightStalkerArchery,items,perk  book,夜行者 第5卷
bookNightStalkerBlades,items,perk  book,夜行者 第3卷
bookNightStalkerSilentNight,items,perk  book,夜行者 第2卷
bookNightStalkerSlumberParty,items,perk  book,夜行者 第7卷
bookNightStalkerStealthDamage,items,perk  book,夜行者 第1卷
bookNightStalkerThiefAdrenaline,items,perk  book,夜行者 第4卷
bookNightStalkerTwilightThief,items,perk  book,夜行者 第6卷
bookPistolPeteAPAmmo,items,perk  book,手枪皮特 第6卷
bookPistolPeteDamage,items,perk  book,手枪皮特 第7卷
bookPistolPeteHPAmmo,items,perk  book,手枪皮特 第5卷
bookPistolPeteMaintenance,items,perk  book,手枪皮特 第4卷
bookPistolPeteSteadyHand,items,perk  book,手枪皮特 第3卷
bookPistolPeteSwissKnees,items,perk  book,手枪皮特 第2卷
bookPistolPeteTakeAim,items,perk  book,手枪皮特 第1卷
bookRangersAPAmmo,items,perk  book,游侠箭术指南 第4卷
bookRangersArrowRecovery,items,perk  book,游侠箭术指南 第1卷
bookRangersCripplingShot,items,perk  book,游侠箭术指南 第3卷
bookRangersExplodingBolts,items,perk  book,游侠箭术指南 第2卷
bookRangersFlamingArrows,items,perk  book,游侠箭术指南 第5卷
bookRangersForestGuide,items,perk  book,游侠箭术指南 第6卷
bookRangersKnockdown,items,perk  book,游侠箭术指南 第7卷
bookShotgunMessiahBreachingSlugs,items,perk  book,霰弹枪救星 第2卷
bookShotgunMessiahDamage,items,perk  book,霰弹枪救星 第1卷
bookShotgunMessiahLimbShot,items,perk  book,霰弹枪救星 第3卷
bookShotgunMessiahMagazine,items,perk  book,霰弹枪救星 第6卷
bookShotgunMessiahMaintenance,items,perk  book,霰弹枪救星 第5卷
bookShotgunMessiahPartyStarter,items,perk  book,霰弹枪救星 第7卷
bookShotgunMessiahSlugs,items,perk  book,霰弹枪救星 第4卷
bookSledgeSagaArmorCrusher,items,perk  book,《大锤传奇》卷 7
bookSledgeSagaConcussiveStrike,items,perk  book,《大锤传奇》卷 6
bookSledgeSagaCrippledMorale,items,perk  book,《大锤传奇》卷 3
bookSledgeSagaDegradation,items,perk  book,《大锤传奇》卷 2
bookSledgeSagaKnockdown,items,perk  book,《大锤传奇》卷 1
bookSledgeSagaPulverizingFinishers,items,perk  book,《大锤传奇》卷 4
bookSledgeSagaSavageReaper,items,perk  book,《大锤传奇》卷 5
bookSniperAPAmmo,items,perk  book,狙击手 第6卷
bookSniperControlledBreathing,items,perk  book,狙击手 第5卷
bookSniperCripplingShot,items,perk  book,狙击手 第2卷
bookSniperDamage,items,perk  book,狙击手 第1卷
bookSniperHeadShot,items,perk  book,狙击手 第3卷
bookSniperHPAmmo,items,perk  book,狙击手 第7卷
bookSniperReload,items,perk  book,狙击手 第4卷
bookSpearHunter1Damage,items,perk  book,掷矛猎人 第 1 卷
bookSpearHunter2Maintenance,items,perk  book,掷矛猎人 第 2 卷
bookSpearHunter3Bleed,items,perk  book,掷矛猎人 第 3 卷
bookSpearHunter4KillMove,items,perk  book,掷矛猎人 第 4 卷
bookSpearHunter5RapidStrike,items,perk  book,掷矛猎人 第 5 卷
bookSpearHunter6PenetratingShaft,items,perk  book,掷矛猎人 第 6 卷
bookSpearHunter7QuickStrike,items,perk  book,掷矛猎人 第 7 卷
bookTechJunkie1Damage,items,perk  book,科技迷 第 1 卷
bookTechJunkie2Maintenance,items,perk  book,科技迷 第 2 卷
bookTechJunkie3APAmmo,items,perk  book,科技迷 第 3 卷
bookTechJunkie4Shells,items,perk  book,科技迷 第 4 卷
bookTechJunkie5Repulsor,items,perk  book,科技迷 第 5 卷
bookTechJunkie6BatonCharge,items,perk  book,科技迷 第 6 卷
bookTechJunkie7Hydraulics,items,perk  book,科技迷 第 7 卷
bookTechJunkie8Complete,items,perk  book,科技迷 - 完成
bookUrbanCombatAdrenalineRush,items,perk  book,城市作战 第6卷
bookUrbanCombatCigar,items,perk  book,城市作战 第2卷
bookUrbanCombatJumping,items,perk  book,城市作战 第4卷
bookUrbanCombatLanding,items,perk  book,城市作战 第1卷
bookUrbanCombatLandMines,items,perk  book,城市作战 第5卷
bookUrbanCombatRoomClearing,items,perk  book,城市作战 第7卷
bookUrbanCombatSneaking,items,perk  book,城市作战 第3卷
bookWasteTreasuresAcid,items,perk  book,荒野宝藏 第3卷
bookWasteTreasuresCloth,items,perk  book,荒野宝藏 第6卷
bookWasteTreasuresCoffins,items,perk  book,荒野宝藏 第2卷
bookWasteTreasuresDoors,items,perk  book,荒野宝藏 第5卷
bookWasteTreasuresHoney,items,perk  book,荒野宝藏 第1卷
bookWasteTreasuresSinks,items,perk  book,荒野宝藏 第7卷
bookWasteTreasuresWater,items,perk  book,荒野宝藏 第4卷
questCassadoreSupplies,items,Quest,卡萨朵补给
questSuppliesGroupDesc,items,Quest,有人会想要回这些的。
questWhiteRiverSupplies,items,Quest,白河补给
qc_AnimalGroupDesc,items,Quest - Animal Challenge,旅行中发现的一张奇怪便条。来自狡猾威利部落。
qc_buythefarm,items,Quest - Animal Challenge,买下农场挑战
qc_dontfeedthebears,items,Quest - Animal Challenge,勿喂投熊挑战
qc_killthewabbit,items,Quest - Animal Challenge,击杀兔子挑战
qc_nailsomechicks,items,Quest - Animal Challenge,钉住小鸡挑战
qc_stagparty,items,Quest - Animal Challenge,单身派对挑战
qc_thatlldopig,items,Quest - Animal Challenge,那样也行的猪挑战
qc_cableguysnevermadeit,items,Quest - Challenge,电工从未成功挑战
qc_dishonorabledischarge,items,Quest - Challenge,永不录用挑战
qc_dogdaysareover,items,Quest - Challenge,夏日已逝挑战
qc_drunkanddisorderly,items,Quest - Challenge,酩酊大醉挑战
qc_givemeaz,items,Quest - Challenge,给我个Z挑战
qc_imalumberjackandimokay,items,Quest - Challenge,我是伐木工我很OK挑战
qc_itsbitsyspider,items,Quest - Challenge,可爱小蜘蛛挑战
qc_ladykiller,items,Quest - Challenge,芳心捕手挑战
qc_maneater,items,Quest - Challenge,少男杀手挑战
qc_nurseyoubacktohealth,items,Quest - Challenge,照顾你恢复健康挑战
qc_silenceofthelambs,items,Quest - Challenge,沉默的羔羊
qc_starvingtourists,items,Quest - Challenge,饥饿游客挑战
qc_yournothingspecial,items,Quest - Challenge,你平平无奇
qc_ZombieGroupDesc,items,Quest - Challenge,我搜刮的时候发现的一张奇怪便条。来自疯狂杰克部落。
noteDuke01,items,Quest - Note,来自纳维戈恩公爵的便条
noteDuke01Desc,items,Quest - Note,友善地提醒你，要是有哪一次你不按时付款，后果可自付哦。下次我们可就不会这么客气了。谢谢你的装备，但你还是欠我们不少。拜拜。-公爵
q_basicSurvival,items,Quest - Note,基础生存任务笔记
q_basicSurvivalDesc,items,Quest - Note,来自陌生人的一段神秘笔记我不知道怎么的来的。
readTheNote,items,Quest - Note,想活下去就仔细看！
qtest_nextTraderAdmin,items,Quest - Test,开发团队：找到商人任务
qtest_nextTraderAdminDesc,items,Quest - Test,开启指引你前往最近的商人的任务。
qt_claude,items,Quest - Treasure Map,克劳德的藏宝图
qt_desc,items,Quest - Treasure Map,我发现的一张破旧的藏宝图，上面有些潦草的字迹。
qt_jennifer,items,Quest - Treasure Map,詹妮弗的藏宝图
qt_nickole,items,Quest - Treasure Map,尼科尔的藏宝图
qt_raphael,items,Quest - Treasure Map,拉斐尔的藏宝图
qt_sarah,items,Quest - Treasure Map,萨拉的藏宝图
qt_stephan,items,Quest - Treasure Map,斯蒂芬的藏宝图
qt_taylor,items,Quest - Treasure Map,泰勒的藏宝图
roboticsSkillMagazine,items,Robotics,科技星球
roboticsSkillMagazineDesc,items,Robotics,学会使用日常垃圾亲手制作电子产品，让你的同伴们羡慕不已！\n\n提高机器人的制作技能。
explosivesSkillMagazine,items,Thrown,炸药库
explosivesSkillMagazineDesc,items,Thrown,炸掉东西是我们的生意，并且生意非常火爆！只要会爆炸的，都能在这本炸药杂志里找到！\n\n提高爆炸物的制作技能。
meleeToolAllSteelParts,items,Tool,钢制工具零件
meleeToolAxeT1IronFireaxe,items,Tool,铁斧
meleeToolAxeT1IronFireaxeDesc,items,Tool,铁斧用来收集木材很不错。\n\n可用维修工具修理。\n可分解为铁。
meleeToolAxeT2SteelAxe,items,Tool,钢斧
meleeToolAxeT2SteelAxeDesc,items,Tool,钢斧斧刃经久耐用，非常适合伐木。\n\n可用维修工具修理。\n可分解为钢制工具零件。
meleeToolAxeT3Chainsaw,items,Tool,电锯
meleeToolAxeT3ChainsawDesc,items,Tool,用这把汽油做燃料的大电锯，锯起树和丧尸来比保罗·班扬更快。\n\n可用维修工具修理。\n可分解为电动工具零件。
meleeToolAxeT3ChainsawParts,items,Tool,电动工具零件
meleeToolAxeT3ChainsawSchematic,items,Tool,电锯设计图
meleeToolBlockReplaceTool,items,Tool,开发：管理员砖块替换工具
meleeToolBlockReplaceToolDesc,items,Tool,通过复制源砖块，可以替换单个或所有同类型砖块。
meleeToolFlashlight02,items,Tool,手电筒
meleeToolFlashlight02Desc,items,Tool,一个可用作光源的手电筒。\n\n使用灯源动作（[action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]）激活。\n\n可分解为电子零件。
meleeToolIronSetSchematic,items,Tool,铁制工具设计图
meleeToolPaintTool,items,Tool,油漆刷
meleeToolPaintToolDesc,items,Tool,使用油漆刷来粉刷建造砖块，按住重新装填按钮可以选择粉刷选项。你还可以用主动作清除砖块上不想要的粉刷效果。
meleeToolPickT1IronPickaxe,items,Tool,铁制鹤嘴锄
meleeToolPickT1IronPickaxeDesc,items,Tool,铁制鹤嘴锄用于破开石头、收集矿物很不错。\n\n可用维修工具修理。\n可分解为铁。
meleeToolPickT2SteelPickaxe,items,Tool,钢制鹤嘴锄
meleeToolPickT2SteelPickaxeDesc,items,Tool,铁制鹤嘴锄用于破开石头、收集矿物简直绝佳。\n\n可用维修工具修理。\n可分解为钢制工具零件。
meleeToolPickT3Auger,items,Tool,螺旋钻
meleeToolPickT3AugerDesc,items,Tool,拿着你的螺旋钻钻起来吧，任何矿工看到你施展着这把性感的气动螺旋钻，都会向你投来艳羡的目光。\n\n可用维修工具修理。\n可分解为电动工具零件。
meleeToolPickT3AugerSchematic,items,Tool,螺旋钻设计图
meleeToolRepairT0StoneAxe,items,Tool,石斧
meleeToolRepairT0StoneAxeDesc,items,Tool,一种原始的工具，可用于砍柴、挖矿、修理和升级墙壁以及门窗。并非最好的武器。\n\n可用小石子修理。\n可分解为小石子。
meleeToolRepairT0TazasStoneAxe,items,Tool,塔萨的石斧
meleeToolRepairT0TazasStoneAxeDesc,items,Tool,塔萨的石斧是一把罕见而强大的古代印度手工制品。阿帕奇人相信那些使用它的人能够战无不胜。\n可用小石子修理。
meleeToolRepairT1ClawHammer,items,Tool,羊角锤
meleeToolRepairT1ClawHammerDesc,items,Tool,羊角锤很适合用于修理和升级基础墙壁，做为武器也不赖。\n\n可用维修工具修理。\n可分解为铁。
meleeToolRepairT3Nailgun,items,Tool,钉枪
meleeToolRepairT3NailgunDesc,items,Tool,钉枪是修理和升级墙壁的最好工具，如果你有钉子的话，拿来当作武器也不赖。\n\n可用维修工具修理。\n可分解为机械零件。
meleeToolRepairT3NailgunSchematic,items,Tool,钉枪设计图
meleeToolSalvageParts,items,Tool,废旧工具零件
meleeToolSalvageT1Wrench,items,Tool,扳手
meleeToolSalvageT1WrenchDesc,items,Tool,非常适合拆卸汽车、空调等机械设备。\n\n可用维修工具修理。\n可分解为铁。
meleeToolSalvageT1WrenchSchematic,items,Tool,扳手设计图
meleeToolSalvageT2Ratchet,items,Tool,棘齿
meleeToolSalvageT2RatchetDesc,items,Tool,非常适合拆卸汽车、空调等机械设备。\n\n可用维修工具修理。\n可分解为钢制工具零件。
meleeToolSalvageT2RatchetSchematic,items,Tool,棘齿设计图
meleeToolSalvageT3ImpactDriver,items,Tool,冲击起子
meleeToolSalvageT3ImpactDriverDesc,items,Tool,非常适合拆卸汽车、空调等机械设备。\n\n可用维修工具修理。\n可分解为电动工具零件。
meleeToolSalvageT3ImpactDriverSchematic,items,Tool,冲击起子设计图
meleeToolShovelT0StoneShovel,items,Tool,石铲
meleeToolShovelT0StoneShovelDesc,items,Tool,石铲是一种可以掘开泥土、沙地或雪地的原始工具。\n\n可用小石子修理。\n可分解为小石子。
meleeToolShovelT1IronShovel,items,Tool,铁铲
meleeToolShovelT1IronShovelDesc,items,Tool,铁铲适合挖掘泥土、沙地或雪地。\n\n可用维修工具修理。\n可分解为铁。
meleeToolShovelT2SteelShovel,items,Tool,钢铲
meleeToolShovelT2SteelShovelDesc,items,Tool,钢铲耐久性高，是掘开泥土、沙地或雪地的理想工具。\n\n可用维修工具修理。\n可分解为钢制工具零件。
meleeToolSteelSetSchematic,items,Tool,钢铲设计图
meleeToolTorch,items,Tool,火把
meleeToolTorchDesc,items,Tool,这个火炬能够作为光源或武器，有几率吸引敌人的火力。使用辅助动作来放置。可能会吸引丧尸。
meleeToolWireTool,items,Tool,电线工具
meleeToolWireToolDesc,items,Tool,使用电线工具连接电子器件。
harvestingToolsSkillMagazine,items,Tools,工具摘要
harvestingToolsSkillMagazineDesc,items,Tools,向业界精英学习如何亲手制作工具！\n\n提高采集工具的制作技能。
repairToolsSkillMagazine,items,Tools,巧手之家
repairToolsSkillMagazineDesc,items,Tools,不管你是家庭维修爱好者还是专业维修人员，我们都能满足你的需求！\n\n提高修理工具的制作技能。
salvageToolsSkillMagazine,items,Tools,趣味分解
salvageToolsSkillMagazineDesc,items,Tools,甲之垃圾乙之宝藏！\n\n提高拆解工具的制作技能。
vehiclesSkillMagazine,items,Vehicles,载具大冒险
vehiclesSkillMagazineDesc,items,Vehicles,快来看看我们的自行车、越野车、旋翼机等等！\n\n提高载具的制作技能。
workstationSkillMagazine,items,Workstations,锻造指南
workstationSkillMagazineDesc,items,Workstations,学习为你的工作站配备锻造炉、工作台、水泥搅拌机和化学工作站！\n\n提高工作站的制作技能。
Tip_keyword,Journal Tip,Keywords,提示
airDropTip,Journal Tip,,空投补给可能在中午时分发生。注意聆听飞机的声音，跟着橙色的烟雾找到飞机扔下来的板条箱。如果开启标记空投选项，你能够在地图上找到标记的补给板条箱。
airDropTip_title,Journal Tip,,空投
alternateAmmoTip,Journal Tip,,有些武器能够使用多种类型的弹药。装备武器并保持装填动作，以查看并装填武器可能的弹药类型。
alternateAmmoTip_title,Journal Tip,,备用弹药
armorStatsTip_title,Journal Tip,,护甲总量
augmentGunsTip,Journal Tip,,枪支、近战武器和护甲等有品质等级的物品可以通过安装模组来增强。\n每个模组都会占用一个非装饰性模组栏位，并增加武器的伤害。\n\n选择物品检查窗口中的“修改”动作，然后拖动或按住 shift 并点击模组到一个空栏位。\n与所选物品兼容的模组图标将以绿色高亮显示。\n\n可以随时移除模组及将模组应用于其他物品。
augmentGunsTip_title,Journal Tip,,模组物品
batteryBankTip,Journal Tip,,电池组可以让你给你的电子器件充电。\n它需要至少一个电池，最多可扩展到六个。最大能量输出取决于安装的电池数量和质量。\n外部供电并接通的电池组将为电池充电。\n如果没有安装电池，它就充当一个继电器向下供给能量。\n需要一个电线工具，在电子器件之间连接或切断电线。
batteryBankTip_title,Journal Tip,,电池组
bedrollTip,Journal Tip,,当你放置睡袋时，你会在指南针和地图上看到一个床的图标。它可以引导你回到自己家园，并在你死亡后作为重生点将你复活。\n只有一个睡袋会生效，最后放置的睡袋就是生效的睡袋。放置一张新床或搬起上一次放置的床，将永久清空之前所有的复活点。\n\n放置和激活睡袋将防止敌人在该地区刷新。放置睡袋时会显示此区域的大小。
bedrollTip_title,Journal Tip,,睡袋
cameraTip,Journal Tip,,如果你有一个可瞄准的电子物品，如自动炮台、动作感应器或聚光灯，你可以通过打开它、点击相机预览区域、按住主动作并瞄准所需位置来设置其默认瞄准。\n完成此操作后，点击escape并退出组件。
cameraTip_title,Journal Tip,,相机
campfireTip,Journal Tip,,篝火被用来保暖、烹调食物、净化水并进行简单的化学反应。\n你必须把木头或可燃物放入燃料插槽里才能使用，并且在你的物品栏里有所有的配方材料。\n在餐具插槽里放入烹饪锅、烧烤架或烧杯，以制作更多的配方。\n按住E在你的土地征用区域拾起工作台。
campfireTip_title,Journal Tip,,篝火
cementMixerTip,Journal Tip,,水泥搅拌机能够用来加工混凝土，以建造更坚固的基础墙，并且可以打磨岩石。\n要在这里制作配方，你必须在你的物品栏里有所有的配方材料。\n按住E在你的土地征用区域拾起工作台。
cementMixerTip_title,Journal Tip,,水泥搅拌机
chemistryStationTip,Journal Tip,,化学工作站能够让你制作额外的化学药剂、液体和化合物。\n虽然有些配方也可以在篝火中用较少的资源来制作。\n要在这里制作配方，你必须在你的物品栏里有所有的配方材料。\n按住E在你的土地征用区域拾起工作台。
chemistryStationTip_title,Journal Tip,,化学工作站
coldWeatherTip,Journal Tip,,如果你感到寒冷，可以通过穿衣服，进入室内，站在点燃的篝火或锻造炉旁边，以及手持火把来缓解。\n\n物品的寒冷抗性等级越高，抗寒效果越好，可以在寒冷天气下更好地保护你。你可以通过检视一项物品来查看其寒冷抗性等级。
coldWeatherTip_title,Journal Tip,,寒冷天气
criticalHitsTip,Journal Tip,,你一开始对所有暴击减益有 100% 的暴击抗性，被敌人击中会让你的这些抗性降低，当低于 100% 时，你可能会受到暴击，如感染或严重裂伤。\n\n穿戴护甲可减少暴击抗性降低的几率。你可以在角色窗口左上角的第 2 个“状态”标签查看你累计的护甲值。\n\n感染以外的暴击可以自行治愈，或者可以用特定的物品治疗。
criticalHitsTip_title,Journal Tip,,暴击
encumbranceTip,Journal Tip,,如果你的背包（物品栏）中携带了太多物品，你可能会变得沉重，从而降低你的移动速度。快捷栏里的物品和穿过的衣服不计算在内。\n物品栏有一些未解锁和已解锁的格子，代表可在物品栏中携带的物品数量，不影响负重。不必将物品放置在特定的格子上。背包里的物品总量才会影响负重。\n\n驮骡技能，以及某些模组或药物可解锁更多的物品栏格子，让你携带更多物品而不影响负重。
encumbranceTip_title,Journal Tip,,沉重
farmingTip,Journal Tip,,用空手或使用任何工具收割庄稼。\n使用辅助动作在农场上耕种农田并埋下种子。\n阅读制作技能杂志后可制作种子。\n“就地取材”技能可帮助你提高收获产量
farmingTip_title,Journal Tip,,种植
firstAidTip,Journal Tip,,用绷带、急救绷带、针线包或急救包，并使用主要动作来治疗自己或止血。使用辅助动作及上述物品治疗其他人。\n\n芦荟霜、绷带或急救包可以治疗擦伤，擦伤在战斗中是最常见的。急救包或针线包可以治疗很深的裂伤。治疗可以恢复你的最大生命值上限，在生命条上以黑色显示。
